sample_id,noteId,tweetId,error_type,message,fetched_at_utc
15,1779285745758573018,1779252134657024331,http_400,"{""detail"":{""code"":400,""request_id"":""3e696c4b-c7f0-4332-8d7e-565a89369b31"",""message"":""Request failed. Please retry. Check the docs below, verify your parameters, test with the default demo, and share the response JSON with Support."",""message_zh"":""请求失败，请重试。请查看下方文档核对参数，使用默认演示参数测试，并将响应 JSON 提交给支持团队。"",""docs"":""https://api.tikhub.io/#/Twitter-Web-API/fetch_tweet_detail_api_v1_twitter_web_fetch_tweet_detail_get"",""support"":""Discord: https://discord.gg/aMEAS8Xsvz"",""time"":""2026-05-11 05:51:39"",""time_stamp"":1778503899,""time_zone"":""America/Los_Angeles"",""router"":""/api/v1/twitter/web/fetch_tweet_detail"",""params"":{""tweet_id"":""1779252134657024331""},""headers"":{""message_zh"":""HTTP 400 错误，无需提供请求头信息，保护用户隐私。"",""message"":""HTTP 400 error, no need to provide request headers to protect user privacy.""}}}",2026-05-11T12:51:39.378266+00:00
21,1882488833083908599,1882092950118920300,http_400,"{""detail"":{""code"":400,""request_id"":""e75fda70-a51b-4b10-af3b-ba5874889df2"",""message"":""Request failed. Please retry. Check the docs below, verify your parameters, test with the default demo, and share the response JSON with Support."",""message_zh"":""请求失败，请重试。请查看下方文档核对参数，使用默认演示参数测试，并将响应 JSON 提交给支持团队。"",""docs"":""https://api.tikhub.io/#/Twitter-Web-API/fetch_tweet_detail_api_v1_twitter_web_fetch_tweet_detail_get"",""support"":""Discord: https://discord.gg/aMEAS8Xsvz"",""time"":""2026-05-11 05:51:39"",""time_stamp"":1778503899,""time_zone"":""America/Los_Angeles"",""router"":""/api/v1/twitter/web/fetch_tweet_detail"",""params"":{""tweet_id"":""1882092950118920300""},""headers"":{""message_zh"":""HTTP 400 错误，无需提供请求头信息，保护用户隐私。"",""message"":""HTTP 400 error, no need to provide request headers to protect user privacy.""}}}",2026-05-11T12:51:39.984409+00:00
29,2035960808262246563,2035956566013407460,http_400,"{""detail"":{""code"":400,""request_id"":""87b6d64c-3c44-4a2e-b23c-8b4afe5faa5c"",""message"":""Request failed. Please retry. Check the docs below, verify your parameters, test with the default demo, and share the response JSON with Support."",""message_zh"":""请求失败，请重试。请查看下方文档核对参数，使用默认演示参数测试，并将响应 JSON 提交给支持团队。"",""docs"":""https://api.tikhub.io/#/Twitter-Web-API/fetch_tweet_detail_api_v1_twitter_web_fetch_tweet_detail_get"",""support"":""Discord: https://discord.gg/aMEAS8Xsvz"",""time"":""2026-05-11 05:51:41"",""time_stamp"":1778503901,""time_zone"":""America/Los_Angeles"",""router"":""/api/v1/twitter/web/fetch_tweet_detail"",""params"":{""tweet_id"":""2035956566013407460""},""headers"":{""message_zh"":""HTTP 400 错误，无需提供请求头信息，保护用户隐私。"",""message"":""HTTP 400 error, no need to provide request headers to protect user privacy.""}}}",2026-05-11T12:51:41.986106+00:00
31,1830078874123686354,1829934677987090650,http_400,"{""detail"":{""code"":400,""request_id"":""c017de97-d226-4d1d-8a8e-2951f9a5f783"",""message"":""Request failed. Please retry. Check the docs below, verify your parameters, test with the default demo, and share the response JSON with Support."",""message_zh"":""请求失败，请重试。请查看下方文档核对参数，使用默认演示参数测试，并将响应 JSON 提交给支持团队。"",""docs"":""https://api.tikhub.io/#/Twitter-Web-API/fetch_tweet_detail_api_v1_twitter_web_fetch_tweet_detail_get"",""support"":""Discord: https://discord.gg/aMEAS8Xsvz"",""time"":""2026-05-11 05:51:41"",""time_stamp"":1778503901,""time_zone"":""America/Los_Angeles"",""router"":""/api/v1/twitter/web/fetch_tweet_detail"",""params"":{""tweet_id"":""1829934677987090650""},""headers"":{""message_zh"":""HTTP 400 错误，无需提供请求头信息，保护用户隐私。"",""message"":""HTTP 400 error, no need to provide request headers to protect user privacy.""}}}",2026-05-11T12:51:42.059327+00:00
32,1883138868557267079,1882628257650262418,http_400,"{""detail"":{""code"":400,""request_id"":""280eb8ec-8c11-4d3f-984a-77e52e9322c1"",""message"":""Request failed. Please retry. Check the docs below, verify your parameters, test with the default demo, and share the response JSON with Support."",""message_zh"":""请求失败，请重试。请查看下方文档核对参数，使用默认演示参数测试，并将响应 JSON 提交给支持团队。"",""docs"":""https://api.tikhub.io/#/Twitter-Web-API/fetch_tweet_detail_api_v1_twitter_web_fetch_tweet_detail_get"",""support"":""Discord: https://discord.gg/aMEAS8Xsvz"",""time"":""2026-05-11 05:51:42"",""time_stamp"":1778503902,""time_zone"":""America/Los_Angeles"",""router"":""/api/v1/twitter/web/fetch_tweet_detail"",""params"":{""tweet_id"":""1882628257650262418""},""headers"":{""message_zh"":""HTTP 400 错误，无需提供请求头信息，保护用户隐私。"",""message"":""HTTP 400 error, no need to provide request headers to protect user privacy.""}}}",2026-05-11T12:51:42.359762+00:00
34,1713517168371847455,1713228074488058333,http_400,"{""detail"":{""code"":400,""request_id"":""29a17c20-e4af-4950-be69-6448efd51ae1"",""message"":""Request failed. Please retry. Check the docs below, verify your parameters, test with the default demo, and share the response JSON with Support."",""message_zh"":""请求失败，请重试。请查看下方文档核对参数，使用默认演示参数测试，并将响应 JSON 提交给支持团队。"",""docs"":""https://api.tikhub.io/#/Twitter-Web-API/fetch_tweet_detail_api_v1_twitter_web_fetch_tweet_detail_get"",""support"":""Discord: https://discord.gg/aMEAS8Xsvz"",""time"":""2026-05-11 05:51:42"",""time_stamp"":1778503902,""time_zone"":""America/Los_Angeles"",""router"":""/api/v1/twitter/web/fetch_tweet_detail"",""params"":{""tweet_id"":""1713228074488058333""},""headers"":{""message_zh"":""HTTP 400 错误，无需提供请求头信息，保护用户隐私。"",""message"":""HTTP 400 error, no need to provide request headers to protect user privacy.""}}}",2026-05-11T12:51:42.931915+00:00
39,2017732656931234031,2017693394311451110,missing_text,No text-like field found in response.,2026-05-11T12:51:42.973263+00:00
35,1906678889033740655,1906660750694965699,http_400,"{""detail"":{""code"":400,""request_id"":""f4e58d63-86b5-4929-9f4e-3a88977ac4aa"",""message"":""Request failed. Please retry. Check the docs below, verify your parameters, test with the default demo, and share the response JSON with Support."",""message_zh"":""请求失败，请重试。请查看下方文档核对参数，使用默认演示参数测试，并将响应 JSON 提交给支持团队。"",""docs"":""https://api.tikhub.io/#/Twitter-Web-API/fetch_tweet_detail_api_v1_twitter_web_fetch_tweet_detail_get"",""support"":""Discord: https://discord.gg/aMEAS8Xsvz"",""time"":""2026-05-11 05:51:42"",""time_stamp"":1778503902,""time_zone"":""America/Los_Angeles"",""router"":""/api/v1/twitter/web/fetch_tweet_detail"",""params"":{""tweet_id"":""1906660750694965699""},""headers"":{""message_zh"":""HTTP 400 错误，无需提供请求头信息，保护用户隐私。"",""message"":""HTTP 400 error, no need to provide request headers to protect user privacy.""}}}",2026-05-11T12:51:43.070980+00:00
41,1811310772787855376,1811007297629376609,http_400,"{""detail"":{""code"":400,""request_id"":""1f1c31f0-0628-480b-bb29-a8a02a15a1d1"",""message"":""Request failed. Please retry. Check the docs below, verify your parameters, test with the default demo, and share the response JSON with Support."",""message_zh"":""请求失败，请重试。请查看下方文档核对参数，使用默认演示参数测试，并将响应 JSON 提交给支持团队。"",""docs"":""https://api.tikhub.io/#/Twitter-Web-API/fetch_tweet_detail_api_v1_twitter_web_fetch_tweet_detail_get"",""support"":""Discord: https://discord.gg/aMEAS8Xsvz"",""time"":""2026-05-11 05:51:43"",""time_stamp"":1778503903,""time_zone"":""America/Los_Angeles"",""router"":""/api/v1/twitter/web/fetch_tweet_detail"",""params"":{""tweet_id"":""1811007297629376609""},""headers"":{""message_zh"":""HTTP 400 错误，无需提供请求头信息，保护用户隐私。"",""message"":""HTTP 400 error, no need to provide request headers to protect user privacy.""}}}",2026-05-11T12:51:43.198996+00:00
38,1811424610253955171,1811359366043373677,http_400,"{""detail"":{""code"":400,""request_id"":""b50bce7a-35a0-4dfa-b247-8c9f26d212ff"",""message"":""Request failed. Please retry. Check the docs below, verify your parameters, test with the default demo, and share the response JSON with Support."",""message_zh"":""请求失败，请重试。请查看下方文档核对参数，使用默认演示参数测试，并将响应 JSON 提交给支持团队。"",""docs"":""https://api.tikhub.io/#/Twitter-Web-API/fetch_tweet_detail_api_v1_twitter_web_fetch_tweet_detail_get"",""support"":""Discord: https://discord.gg/aMEAS8Xsvz"",""time"":""2026-05-11 05:51:43"",""time_stamp"":1778503903,""time_zone"":""America/Los_Angeles"",""router"":""/api/v1/twitter/web/fetch_tweet_detail"",""params"":{""tweet_id"":""1811359366043373677""},""headers"":{""message_zh"":""HTTP 400 错误，无需提供请求头信息，保护用户隐私。"",""message"":""HTTP 400 error, no need to provide request headers to protect user privacy.""}}}",2026-05-11T12:51:44.056458+00:00
