sample_id,noteId,tweetId
1,1904723942671032608,1904611729771802783
2,1739459726008545562,1739429340180312208
3,1865157191235141988,1865002573695967731
4,1766657791312146854,1766655880437870594
5,1786376160831582557,1786362183263064187
6,2023789139897053224,2023729011009229171
7,1962428583714181161,1962393983759569314
8,1882177762678481008,1881593581254947252
9,2011876016273154400,2011825762215526701
10,1898402798129074445,1897336435184943594
11,1831351361818268087,1831241418771493072
12,1735957814361886845,1735893669507694862
13,1885321505422119153,1885096874173976624
14,1987153607687295404,1986846336294015402
15,1779285745758573018,1779252134657024331
16,1671263593931653120,1671083517046915073
17,2028827049956114596,2028761169289236630
18,2000504854280630550,2000440281376674188
19,1955316597721030847,1954986898373431479
20,1846521865550077984,1846441392765317583
21,1882488833083908599,1882092950118920300
22,1735639728420987317,1735386698912047254
23,2021631566535971103,2021546662850896201
24,1940756620452958315,1940425241425305727
25,1844441278089678967,1844423464360476867
26,1919005015512928521,1918681980297732462
27,1874654987529420924,1874405940902187458
28,1994469823116345528,1994204136460460184
29,2035960808262246563,2035956566013407460
30,1742401446493258159,1742151337972990368
31,1830078874123686354,1829934677987090650
32,1883138868557267079,1882628257650262418
33,1881942220078801394,1881789407117857025
34,1713517168371847455,1713228074488058333
35,1906678889033740655,1906660750694965699
36,1783572144934224056,1783536793695973468
37,1794823599678791876,1794546175900877307
38,1811424610253955171,1811359366043373677
39,2017732656931234031,2017693394311451110
40,1894053097875374515,1894003667490971745
41,1811310772787855376,1811007297629376609
42,1925251201274454522,1924961452676547031
43,1737934186302890378,1737826021045317774
44,1787583611929346527,1787540072096522673
45,1911810647811084366,1911389756899938612
46,2038294378813223415,2037577305636159652
47,1820041160489926859,1819844935178473557
48,1856835702786240768,1856160053167849502
49,1989127454859096503,1989103026158858391
50,1803368195220254721,1803090895211773956
51,1766549824646816195,1766410959793369338
52,1991993375449288772,1991930401838035204
53,1846312676714029295,1846273291272544471
54,1776714340713795703,1776601723445879082
55,1850667671798620325,1850371204693299375
56,1918309521250001398,1918291388397175035
57,1960553198202019896,1960179660110659736
58,2006369631494119911,2006324633323134980
59,1917493232541339800,1917292810790916416
60,1917760099805978863,1917712716837327327
61,1620441879778308096,1620110760360935425
62,1959970725793816918,1959647232959094937
63,1964779597850919376,1964767547192123455
64,1879875890584097075,1879487396703883738
65,1686113483018887170,1686064185015222279
66,1771272442813825233,1771239773090287637
67,1760049214640574713,1760018065259982936
68,2005491579755036959,2005479608096051709
69,1745313311711690933,1744742821783863604
70,2014512244722114946,2014487464442814926
71,1722106506307322234,1722017555286818933
72,1830917292299034823,1830575874481229975
73,1714400793292333536,1714383668850970891
74,1935400235099942998,1935336364150509853
75,1922337362027167833,1922310240973791552
76,1922016344066707731,1922000023010578854
77,1816969653832540625,1816944937176273118
78,1766262017759871003,1765952544386191772
79,1898544044852301939,1898496820550221963
80,1717534203557130294,1716961787688726646
81,1918945757962608914,1918883867655839747
82,1794375331022872985,1794356665934033267
83,1880681677523173828,1880625831946650102
84,2032977922718306814,2032563235732308184
85,1837713183835877460,1837694734845800706
86,1804899718000169144,1804153373656219750
87,1709611625928430072,1709539698849296753
88,1849657655431922084,1849461192722416045
89,1658375197806952448,1658162671630397470
90,2000236797796778325,2000181444606562566
91,1665019471671570433,1664988839432126465
92,1922049792571482452,1921838505363480637
93,1877709928363647050,1877426409548759485
94,1810441389664002136,1810302011956494538
95,1764886888152736060,1764754960330240308
96,2011493077027086578,2011287528188645584
97,1830385107636736160,1830032950030975242
98,1756829266279317940,1756576558196691199
99,2036077399733875036,2035838168415519145
100,1889013409481740440,1888855676505514093
101,1790829767366778937,1790643212261962043
102,1767401735952167151,1767196394941550779
103,1845529637469765960,1845405769904136437
104,2015880843646935473,2015777929960014132
105,1824443600052101209,1824088212941234233
106,1971284099235975434,1970987539285884982
107,1760299264700543340,1759738492639498747
108,1881843289009410288,1881742990986895632
109,1965385613525275109,1965243466306519445
110,1987067643799511356,1986829749113741698
111,1720218589981258094,1720184072998408308
112,1891932597120286807,1891923158648623539
113,1824953301940531443,1824707887744078109
114,2015438506424770781,2015084468092928316
115,1853397719961747833,1853138051318366554
116,1808199464214995048,1808181059768496266
117,1820224704109506958,1820173264116662380
118,1988419233374449765,1988087616202330354
119,1727749347272519898,1727580554944532831
120,1805656583138853317,1805650134828728488
121,1847328517928759303,1847240526048772479
122,1753097569008570401,1740595198630211941
123,1825497708972384619,1825003263487299799
124,1681193056253648896,1681045543408242689
125,1857333282565755094,1856973135167316447
126,1822343841086636504,1822290976301351033
127,1685295773821403136,1684943422916796416
128,1715273821224116248,1714934303568605304
129,1582366551549820928,1582363105153011713
130,1674179108614316033,1674166067646562310
131,1861853861473898715,1861849987992195384
132,1590864666003378178,1590842239349293059
133,1862579361729192086,1862552579588194407
134,1938574202711253335,1938343716491825298
135,1782672403291578677,1782646102262689865
136,1838312815431647704,1838304861928223058
137,1762531460618072254,1762316088312811664
138,1950761486999081147,1950747007972200929
139,1882040139406577932,1881567286273990873
140,1975867703354081494,1975562278415085865
141,1794355627990667496,1786894064832664047
142,1727555136908873789,1727507664962486450
143,2006034142270558220,2005758093544820929
144,1860197684164067784,1859343019327226088
145,1792492047494213636,1792467059659690115
146,1889007526403788827,1888891512303263815
147,1744347077952373144,1744297950182793638
148,1976311161273385436,1976298093923479709
149,1707978411384144335,1707458301728846246
150,1848625058471682134,1848346218801299624
151,1772897958482071666,1772593205638238263
152,1720470577750692306,1720059178998530208
153,1589655422847401984,1589623564571148289
154,2020323050642895113,2020220263783371044
155,1826588853731246160,1825954012174365025
156,1727093201880654181,1727033891012383139
157,1671680271135956992,1671342448264597506
158,2018176042838479274,2018150939006492953
159,1735325049224060941,1733788345438732374
160,1656646844066287616,1656401828496515080
161,1925594395606200414,1925276035106697350
162,1942322451330838917,1942257051712749576
163,2033638242311147738,2033602627410248157
164,1797679595493138639,1797567949173149786
165,1818209995135070286,1818001549232120206
166,1829049795110908113,1828880335049818207
167,1861168086495396014,1861151520039018744
168,1789651049948786705,1789573515756355602
169,1754159805499912662,1753849945323348239
170,1729573449067090297,1729567100396560691
171,1961248381612732676,1866130309764239580
172,1783390814388765132,1780690651824402642
173,1738821341522932021,1738611355476005193
174,1810892190576414983,1810280908575875296
175,1644162258086264837,1644080942816931841
176,1706128411775717800,1705841969845403788
177,2014889417840775270,2014864660416119225
178,2021981429534773662,2021977341485101452
179,1761840010335043881,1761692846094979436
180,1911310645103865885,1911123172331565414
181,1912792949538054389,1912710654668001596
182,1742963074015854927,1742867054439301330
183,2039651977169354929,2039586495745704079
184,1843763366885765131,1843305358325907558
185,2028550352316912119,2028505051325469147
186,1919531168174592296,1919114006402396473
187,1861237279710171357,1861118846989386168
188,1690948852478849115,1690679741676974080
189,1663163540356890624,1663157602988204034
190,1883471304650584153,1883452219892351429
191,1819847193877954700,1819458204717535692
192,1981823283659256210,1981677405241753880
193,1732315053217447971,1732140614203126258
194,1895195618341200306,1895055409754603644
195,1800143657531572671,1799911951025520713
196,2032783142193435064,2032507216063049846
197,1808600110961734151,1808350217869406439
198,1736180037383229865,1736082794013503551
199,1873435904372510868,1873428412536434722
200,1859826168532488260,1859806765917057298
201,1850098665915822427,1850060632747364474
202,1689195110737785042,1688870920470077440
203,1802732575963730328,1802491352959377549
204,1827540340238369229,1826986528352162300
205,1917482644066939351,1917145116306743518
206,1757558388743950381,1757419364360532417
207,1983225793816772863,1982822971803578383
208,1768015558853931184,1767886223442375122
209,1823291077002190907,1822598159597781385
210,1788142149336223807,1788056382383759685
211,1899605594463739965,1899562293412675837
212,1966552364640329872,1966299973299106250
213,1943148077226905879,1943013827190182205
214,1889800376284549373,1889799891104539086
215,1794797859294069099,1794730698298863994
216,1798900647968063532,1798761172109606919
217,1720714146608484734,1720060386370601346
218,1810410627032375737,1810347707443433770
219,1842782247256268819,1842583582562480338
220,1798843874393071753,1798807152632422509
221,1902087339112870273,1902020874384846901
222,1809393782116229539,1809385770786123792
223,1799443297045193077,1799181756689433017
224,1980451486657310820,1980418728232943753
225,1763654259332018229,1763596144469315721
226,1629811424053841921,1629727721805758465
227,1711522455850770807,1711395968145330520
228,2002618088001269847,2002103210073547254
229,1813522268145770637,1812608392336126217
230,1792767291656155489,1792461506736517414
231,1833308782031413592,1833170869394296842
232,1746100620241576372,1743937948658311517
233,1978544226511028228,1978508066698998005
234,1679534801630421004,1679295713069633536
235,1779674938938376624,1779577882768973856
236,1990382250186154393,1990082546634215819
237,1903000296541868103,1902243041655640136
238,1766129257611186541,1766094925257654381
239,1919305765157781960,1919151640499949853
240,1759257733604290993,1753830863438024961
241,2014466139875594742,2014415085880455294
242,1749813517090488708,1748193508169498732
243,1788230458188128337,1788161324922425697
244,1805730652475761101,1805728361446285528
245,1911047533733757092,1910815577062416462
246,2038660223238578445,2038378750555861346
247,1964700141484687706,1964052735625744468
248,1686377874121768960,1686355758378541056
249,2010154067780145586,2010069399814930587
250,1852632156444463133,1852425296030368109
251,2033841702625067422,2033806307195601098
252,1946396895930360090,1946355087204397571
253,1858213161159012832,1858185269922677240
254,1863611716505907552,1863355686526062700
255,2006679318840451245,2006279210567188791
256,1850408522581684402,1849904692559564992
257,1736579152398975214,1736576446209093809
258,1979585492053303371,1979526972704231510
259,1881970131653345673,1881646546133082430
260,1759950793300410779,1759699394595578352
261,1909767897389711821,1908780148704632857
262,1789687291717316943,1789535736120672272
263,1838159722374991993,1838140301157806192
264,1778437351166931339,1777987696406782162
265,2032995491001282718,2032524764691185823
266,1886140092240027793,1886013230931169315
267,1794197106825044439,1794184373404840240
268,1946313889810931948,1946223957914403088
269,1756991507632976036,1756962893940060468
270,1812970197629743161,1812752424475430998
271,1739902667038556595,1739613840055128247
272,2029011768870084929,2028863562811084838
273,1882981280314437676,1882949718936007071
274,1877444499418526195,1877293889687535837
275,1810675072589259236,1810351080741453978
276,1835442649777459501,1835438483953078394
277,1703806897092968744,1703723592695910820
278,1856276838097535473,1855980136467664997
279,1781115325364236730,1781084418456609258
280,2008928279735202155,2008638475554148541
281,1783642947889578346,1783548221412778090
282,1791300415599870305,1791292724517195976
283,1784701293464093098,1784522098280718801
284,1883819329961017577,1883109125548372424
285,1889198160314266067,1889102430274818175
286,1912609743878623732,1912268161166053432
287,1979964084788584778,1979643743419711969
288,1890145104062738738,1890127699219476508
289,1754228384719364099,1753863757531394087
290,1711597268669735238,1710753856928289044
291,1869366820563550538,1869360921333969301
292,1773200117983547572,1773015776691167655
293,1765278408605339721,1764655582311489892
294,1774161543472586951,1774110148438503895
295,1799392459459293230,1799249240604192789
296,1838050495933411579,1838006179626209640
297,1886160941370253408,1885768880578072889
298,1654305348545835008,1654263507297222659
299,1903573823598764213,1903252060394385814
300,1691203161657057610,1690966626840330240
301,2023368603844636739,2023046832658551020
302,1885646694475555257,1885581926888505792
303,1789573602372661689,1789561838117814620
304,1756523521885565158,1756457999991001536
305,1931669447732764847,1930819024725626993
306,1973147647566364844,1973110732418953380
307,2040040702973817192,2039993000114438545
308,1817942333041603062,1817577272821371127
309,1996942685446287794,1996481296890319135
310,2030042802965418102,2029902067741958310
311,1987567860340920400,1986852150337806664
312,1864410812787642590,1864206276781105652
313,1861393774183621001,1861324694093287457
314,1682733504205824000,1347246623127076864
315,1819846945558401275,1819798595702247874
316,1809961264967262550,1809898241388900573
317,1905194693962379307,1904962257643016381
318,1753766202768236554,1753483987001999548
319,2034707867316498553,2034651074355769523
320,2013348535811325965,2013011243942977742
321,1993916270518128653,1993817128747532698
322,1835859176771195153,1835755537994219873
323,1994585997586100534,1993329217975583113
324,1710742370369605850,1710728602524770447
325,1744165356053135393,1744134010031468664
326,1767887786223263836,1767669856323723286
327,1750615266503827851,1750576300740207054
328,1987679518279209021,1987359088833867845
329,1847736414936727908,1847217642437771324
330,1775614347269607548,1775365067086635080
331,1833952429970432023,1833920186879197589
332,1800280688618283301,1800074182715494714
333,1817389508196757847,1816956669114405289
334,1802621914919453069,1802141486169170244
335,1983796118833000713,1983499232284667911
336,1829293920934621560,1829222175317864452
337,1956845928339394846,1956409839443124659
338,2014357080426070266,2014338713493401701
339,1785309123401441735,1785003834869203059
340,1926629634008830211,1926325599401869353
341,1718324351924158795,1718314625295352168
342,1942572387154944485,1940429131893625071
343,1710248266946756689,1710190919549403522
344,1800160601383047463,1800127239641547083
345,2035688105580097554,2035169480951628271
346,1735828835176780030,1735776877103718692
347,1887895530631467517,1887194828414591331
348,1996556505340838171,1996244720926773568
349,1879230275311354320,1879003519791071363
350,1696179078481539241,1695890146522984473
351,1813783213325926833,1813697562609623396
352,1695020454182891784,1694632265140035639
353,1753507251107877083,1753464621250248862
354,1780589299748028522,1780542079380148374
355,1876331818825208200,1876322199105388581
356,1880601053479264339,1880225624792703026
357,2027906282917925259,2027870428606189941
358,1712212791665267160,1712157232224256054
359,1788243475139375452,1788127841835463046
360,1884151408376623244,1883909278773465262
361,2033643671359275325,2033536262699917619
362,1845662659628134734,1845535071400239429
363,1855339114536878112,1854639075778597364
364,1982481604309094510,1982356288165003274
365,1800915910934274194,1800891175509037475
366,1872404593046642716,1871229282867200310
367,1987212323446997118,1986902871317598463
368,1851028080124633414,1851015137211072677
369,2008880068697731518,2008297545919811761
370,2020709217632666057,2020626796614664207
371,1781853352927564108,1781415266531831824
372,1904443123960340635,1904282608956997969
373,1865779394150600841,1865757908325077123
374,1978846439733109177,1978592974398431693
375,1757646629992124576,1757602829005369727
376,1861874713620074618,1861139295664296217
377,1669486407939702785,1669139254734393344
378,1922974380096671767,1922942532398260462
379,1713537088216273268,1713236998498947144
380,1790653563107958912,1790300064746782879
381,2030984583294951617,2030780353606996076
382,1841143263954104364,1840763972166783353
383,1716368408160219520,1716334685662412841
384,1855092995294740800,1854932120449552414
385,1806724247944831355,1806669545223970933
386,1982545594775130194,1981771454258851936
387,2029913008122581277,2029738111471604137
388,1679165924828495874,1679140933319753728
389,1851888598565404974,1850281866231742821
390,1793494753717391765,1793341802507813043
391,1817872666512314391,1817741764897456312
392,1774951143703036255,1774559706981212651
393,1863524316375355539,1863216646749401244
394,1888863609834340588,1888608867346518308
395,2040133299180605568,2039194621075427400
396,1783385879597461984,1783239938244567396
397,1881939313174213115,1881649354399994279
398,2031750065593655683,2031731075769143580
399,1655631378459811844,1655439717872156672
400,1733923969604984985,1733882978781053383
401,1877700346014757161,1877451498713428337
402,1799671992683000101,1799448334957944991
403,1975245867104805320,1974640721106796580
404,1962731378270691792,1962488356505608225
405,1865168429382275171,1865078279679488179
406,1544751849131200518,1544325984924598274
407,1899397651260674325,1899259600253452552
408,1801221497417257276,1800879532918124992
409,1787212069793628447,1786935061457031306
410,1987302873068114260,1987183056549990500
411,1765048798881968295,1764814861874102289
412,1975248040400208163,1975074787539193993
413,1740046246142706009,1740021358812418485
414,1783347588026294443,1783011166157201738
415,1924474681585012868,1924458116361466059
416,1706990228068618556,1706834834914480611
417,1817025543734165572,1816992900007285047
418,1891903174342213779,1891899186632671591
419,1721841795418505579,1721622836932923872
420,1808803024988418223,1808574091416514733
421,1850935595306221805,1850885567023583293
422,1908444586780889228,1908253299117060555
423,1870090027826589947,1869871017860182066
424,1692499568431124492,1692480827718881496
425,1516534199225774082,1516528357013393410
426,1886415793350463688,1886389963857547581
427,1767679278357827633,1767609162131763365
428,1882083902619021761,1881737604909134245
429,2007598372598042920,2007551494825119823
430,1849079080160764403,1848785423885021283
431,1872615803423531408,1872371809741423096
432,1786103239030800545,1785986470408282183
433,1837047402445885570,1837046265726509565
434,1710815547271663683,1710667528135950826
435,1725539221841093020,1725398642394042826
436,1834994823952212217,1834736362395721795
437,1640485437465665538,1640477904839614466
438,1746673275889926398,1746657059213602816
439,2025529146189963596,2024773700747247779
440,1713233365803896833,1713201203721507287
441,1818554402351071256,1818544689962009041
442,1997429257249693817,1995903029053198668
443,1879381861404914072,1879296998995902644
444,1843453088398483739,1843350628225183963
445,1855081423306436781,1854455249794142211
446,1906791306984357991,1906772923722956991
447,1780282369695506775,1780261622038052976
448,1817555900292301143,1816813571398852717
449,1795824285858066826,1795552821166657880
450,1983170989979578599,1982834669289623773
451,1728559640760217688,1588886664612818945
452,1828549048904962260,1828503428068241585
453,1725236693865816445,1725200719249047621
454,1802399227160457711,1802353620241023013
455,1360083826509307908,1360027707917041664
456,1869759024566026681,1869502908305420294
457,1925976362550010183,1925526645315609010
458,1843282406490452470,1843279979389620437
