distribution,year,population_count,sample_count,population_prop,sample_prop,abs_prop_diff,status_label,primary_topic
year,2021.0,17208,143,0.0071701613286298945,0.00715,2.016132862989444e-05,,
year,2022.0,19150,161,0.00797934620195621,0.00805,7.065379804378942e-05,,
year,2023.0,368909,3074,0.15371554193302683,0.1537,1.5541933026830268e-05,,
year,2024.0,1003944,8366,0.4183194121867742,0.4183,1.9412186774203644e-05,,
year,2025.0,735185,6126,0.30633397584778993,0.3063,3.397584778991325e-05,,
year,2026.0,255550,2130,0.10648156250182296,0.1065,1.8437498177037437e-05,,
status,,221992,1848,0.09249874788849416,0.0924,9.874788849416338e-05,Helpful,
status,,2091064,17427,0.8712962708327604,0.87135,5.3729167239557896e-05,Need More Ratings,
status,,86890,725,0.03620498127874544,0.03625,4.5018721254556915e-05,Not Helpful,
primary_topic,,951692,7932,0.3965472556465854,0.3966,5.2744353414624356e-05,,Factual error
primary_topic,,198824,1656,0.08284519735027371,0.0828,4.5197350273709636e-05,,Manipulated media
primary_topic,,412280,3437,0.1717871985453006,0.17185,6.280145469939047e-05,,Missing important context
primary_topic,,538377,4486,0.22432879739794145,0.2243,2.879739794145464e-05,,Not misleading
primary_topic,,94639,789,0.03943380392725503,0.03945,1.6196072744965873e-05,,Other
primary_topic,,120942,1007,0.05039363385676178,0.05035,4.363385676178083e-05,,Outdated information
primary_topic,,22131,184,0.009221457482793363,0.0092,2.1457482793363347e-05,,Satire
primary_topic,,61061,509,0.025442655793088676,0.02545,7.344206911324286e-06,,Unverified claim as fact
year_status,2021.0,549,4,0.0002287551469908073,0.0002,2.8755146990807294e-05,Helpful,
year_status,2021.0,16534,139,0.006889321676404386,0.00695,6.067832359561362e-05,Need More Ratings,
year_status,2021.0,125,0,5.208450523470111e-05,0.0,5.208450523470111e-05,Not Helpful,
year_status,2022.0,1864,16,0.000776684142059863,0.0008,2.3315857940137e-05,Helpful,
year_status,2022.0,16704,140,0.0069601566035235795,0.007,3.9843396476420614e-05,Need More Ratings,
year_status,2022.0,582,5,0.0002425054563727684,0.00025,7.494543627231616e-06,Not Helpful,
year_status,2023.0,35023,292,0.014593245014679497,0.0146,6.754985320503448e-06,Helpful,
year_status,2023.0,321842,2682,0.1341038506699734,0.1341,3.8506699734097705e-06,Need More Ratings,
year_status,2023.0,12044,100,0.0050184462483739214,0.005,1.8446248373921344e-05,Not Helpful,
year_status,2024.0,91176,759,0.03799085479423287,0.03795,4.0854794232873803e-05,Helpful,
year_status,2024.0,879380,7328,0.36641657770633174,0.3664,1.6577706331732944e-05,Need More Ratings,
year_status,2024.0,33388,279,0.013911979686209606,0.01395,3.802031379039443e-05,Not Helpful,
year_status,2025.0,67658,562,0.028191467641355265,0.0281,9.146764135526536e-05,Helpful,
year_status,2025.0,637699,5314,0.2657138952293093,0.2657,1.3895229309335289e-05,Need More Ratings,
year_status,2025.0,29828,250,0.012428612977125318,0.0125,7.13870228746822e-05,Not Helpful,
year_status,2026.0,25722,215,0.010717741149175857,0.01075,3.225885082414233e-05,Helpful,
year_status,2026.0,218905,1824,0.09121246894721798,0.0912,1.2468947217972315e-05,Need More Ratings,
year_status,2026.0,10923,91,0.004551352405429122,0.00455,1.3524054291221693e-06,Not Helpful,
status_topic,,108643,905,0.04526893521770906,0.04525,1.8935217709063756e-05,Helpful,Factual error
status_topic,,35222,293,0.01467616354701314,0.01465,2.6163547013140567e-05,Helpful,Manipulated media
status_topic,,44490,372,0.01853791710313482,0.0186,6.208289686517737e-05,Helpful,Missing important context
status_topic,,2,0,8.333520837552178e-07,0.0,8.333520837552178e-07,Helpful,Not misleading
status_topic,,10419,86,0.004341347680322807,0.0043,4.1347680322807376e-05,Helpful,Other
status_topic,,15078,125,0.006282641359430587,0.00625,3.2641359430586776e-05,Helpful,Outdated information
status_topic,,2640,22,0.0011000247505568875,0.0011,2.475055688741859e-08,Helpful,Satire
status_topic,,5498,45,0.0022908848782430937,0.00225,4.088487824309385e-05,Helpful,Unverified claim as fact
status_topic,,819302,6828,0.3413835144624087,0.3414,1.6485537591259813e-05,Need More Ratings,Factual error
status_topic,,159096,1326,0.06629149155856007,0.0663,8.50844143993057e-06,Need More Ratings,Manipulated media
status_topic,,354481,2955,0.14770374000081668,0.14775,4.625999918331236e-05,Need More Ratings,Missing important context
status_topic,,506215,4218,0.2109276625390738,0.2109,2.7662539073797232e-05,Need More Ratings,Not misleading
status_topic,,79519,664,0.03313366217406558,0.0332,6.633782593441773e-05,Need More Ratings,Other
status_topic,,101946,849,0.04247845576525472,0.04245,2.845576525471738e-05,Need More Ratings,Outdated information
status_topic,,17694,147,0.0073726658849824125,0.00735,2.266588498241271e-05,Need More Ratings,Satire
status_topic,,52811,440,0.022005078447598404,0.022,5.078447598404895e-06,Need More Ratings,Unverified claim as fact
status_topic,,23747,199,0.00989480596646758,0.00995,5.519403353242136e-05,Not Helpful,Factual error
status_topic,,4506,37,0.0018775422447005058,0.00185,2.754224470050571e-05,Not Helpful,Manipulated media
status_topic,,13309,110,0.005545541441349097,0.0055,4.554144134909753e-05,Not Helpful,Missing important context
status_topic,,32160,268,0.013400301506783903,0.0134,3.0150678390246377e-07,Not Helpful,Not misleading
status_topic,,4701,39,0.0019587940728666396,0.00195,8.794072866639708e-06,Not Helpful,Other
status_topic,,3918,33,0.0016325367320764717,0.00165,1.7463267923528312e-05,Not Helpful,Outdated information
status_topic,,1797,15,0.0007487668472540632,0.00075,1.2331527459367823e-06,Not Helpful,Satire
status_topic,,2752,24,0.0011466924672471797,0.0012,5.330753275282021e-05,Not Helpful,Unverified claim as fact
year_status_topic,2021.0,339,3,0.00014125317819650943,0.00015,8.746821803490561e-06,Helpful,Factual error
year_status_topic,2021.0,42,0,1.7500393758859576e-05,0.0,1.7500393758859576e-05,Helpful,Manipulated media
