distribution,semantic_topic,population_count,sample_count,population_prop,sample_prop,abs_prop_diff,year,status_label
semantic_topic,crime_law_public_safety,109739,971,0.045725593106847776,0.04855,0.0028244068931522273,,
semantic_topic,economy_business_crypto,132533,1065,0.055223302847937895,0.05325,0.0019733028479378967,,
semantic_topic,entertainment_sports_gaming,52217,456,0.021757563812867534,0.0228,0.0010424361871324665,,
semantic_topic,health_science_medicine,87023,743,0.036260384083481846,0.03715,0.0008896159165181564,,
semantic_topic,other_misc,229008,1920,0.0954221072382015,0.096,0.0005778927617984958,,
semantic_topic,platform_media_internet,1240110,10331,0.5167239109863676,0.51655,0.00017391098636765356,,
semantic_topic,politics_elections_government,281195,2312,0.11716717077502128,0.1156,0.0015671707750212899,,
semantic_topic,social_culture_identity,97850,812,0.040771733709119407,0.0406,0.00017173370911940933,,
semantic_topic,war_geopolitics_international,170272,1390,0.07094823344015513,0.0695,0.0014482334401551278,,
year_semantic_topic,crime_law_public_safety,1038,7,0.00043250955125259015,0.00035,8.250955125259016e-05,2021.0,
year_semantic_topic,economy_business_crypto,490,4,0.0002041711754467911,0.0002,4.171175446791099e-06,2021.0,
year_semantic_topic,entertainment_sports_gaming,112,1,4.6667697244980826e-05,5e-05,3.332302755019176e-06,2021.0,
year_semantic_topic,health_science_medicine,3809,34,0.0015871183821976069,0.0017,0.00011288161780239302,2021.0,
year_semantic_topic,other_misc,2686,19,0.0011191913821430224,0.00095,0.00016919138214302237,2021.0,
year_semantic_topic,platform_media_internet,3961,25,0.0016504531141729379,0.00125,0.00040045311417293786,2021.0,
year_semantic_topic,politics_elections_government,3979,38,0.0016579532798015957,0.0019,0.00024204672019840427,2021.0,
year_semantic_topic,social_culture_identity,736,9,0.00030667343903844545,0.00045,0.00014332656096155454,2021.0,
year_semantic_topic,war_geopolitics_international,397,6,0.0001654203196987267,0.0003,0.00013457968030127328,2021.0,
year_semantic_topic,crime_law_public_safety,1546,15,0.0006441808923280389,0.00075,0.00010581910767196113,2022.0,
year_semantic_topic,economy_business_crypto,909,14,0.00037875836424721045,0.0007,0.00032124163575278955,2022.0,
year_semantic_topic,entertainment_sports_gaming,208,2,8.666858059782153e-05,0.0001,1.3331419402178471e-05,2022.0,
year_semantic_topic,health_science_medicine,2150,17,0.0008958531167563284,0.00085,4.585311675632845e-05,2022.0,
year_semantic_topic,other_misc,1879,13,0.0007829339564582052,0.00065,0.00013293395645820518,2022.0,
year_semantic_topic,platform_media_internet,5951,48,0.002479638092007865,0.0024,7.963809200786523e-05,2022.0,
year_semantic_topic,politics_elections_government,4838,40,0.0020158778506358683,0.002,1.5877850635868246e-05,2022.0,
year_semantic_topic,social_culture_identity,920,7,0.00038334179879805677,0.00035,3.334179879805677e-05,2022.0,
year_semantic_topic,war_geopolitics_international,749,5,0.0003120902253258093,0.00025,6.209022532580928e-05,2022.0,
year_semantic_topic,crime_law_public_safety,17179,154,0.007158074740817193,0.0077,0.0005419252591828076,2023.0,
year_semantic_topic,economy_business_crypto,16794,117,0.006997654531537572,0.00585,0.0011476545315375715,2023.0,
year_semantic_topic,entertainment_sports_gaming,6784,62,0.00282672909026741,0.0031,0.00027327090973259,2023.0,
year_semantic_topic,health_science_medicine,20155,181,0.008398102124755256,0.00905,0.000651897875244745,2023.0,
year_semantic_topic,other_misc,50141,426,0.020892544710362355,0.0213,0.00040745528963764474,2023.0,
year_semantic_topic,platform_media_internet,167273,1415,0.06969862251124713,0.07075,0.0010513774887528637,2023.0,
year_semantic_topic,politics_elections_government,36266,292,0.015111167038272096,0.0146,0.0005111670382720954,2023.0,
year_semantic_topic,social_culture_identity,15860,139,0.006608479270583892,0.00695,0.0003415207294161079,2023.0,
year_semantic_topic,war_geopolitics_international,38457,288,0.016024103865627033,0.0144,0.0016241038656270336,2023.0,
