year,status_label,primary_topic,population_count,target_sample_count,population_prop,target_sample_prop,abs_prop_diff
2021,Helpful,Factual error,339,3,0.00014125317819650943,0.00015,8.746821803490561e-06
2021,Helpful,Manipulated media,42,0,1.7500393758859576e-05,0.0,1.7500393758859576e-05
2021,Helpful,Missing important context,111,1,4.625104064841459e-05,5e-05,3.7489593515854146e-06
2021,Helpful,Other,2,0,8.333520837552178e-07,0.0,8.333520837552178e-07
2021,Helpful,Outdated information,25,0,1.0416901046940223e-05,0.0,1.0416901046940223e-05
2021,Helpful,Satire,13,0,5.416788544408916e-06,0.0,5.416788544408916e-06
2021,Helpful,Unverified claim as fact,17,0,7.083492711919351e-06,0.0,7.083492711919351e-06
2021,Need More Ratings,Factual error,8737,73,0.003640498577884669,0.00365,9.501422115330838e-06
2021,Need More Ratings,Manipulated media,695,6,0.0002895898491049382,0.0003,1.0410150895061776e-05
2021,Need More Ratings,Missing important context,2946,25,0.0012275276193714358,0.00125,2.24723806285642e-05
2021,Need More Ratings,Not misleading,2440,20,0.0010166895421813656,0.001,1.668954218136563e-05
2021,Need More Ratings,Other,190,2,7.91684479567457e-05,0.0001,2.0831552043254308e-05
2021,Need More Ratings,Outdated information,386,3,0.00016083695216475704,0.00015,1.083695216475705e-05
2021,Need More Ratings,Satire,240,2,0.00010000225005062614,0.0001,2.250050626137587e-09
2021,Need More Ratings,Unverified claim as fact,900,8,0.00037500843768984804,0.0004,2.499156231015198e-05
2021,Not Helpful,Factual error,52,0,2.1667154177635663e-05,0.0,2.1667154177635663e-05
2021,Not Helpful,Manipulated media,8,0,3.3334083350208713e-06,0.0,3.3334083350208713e-06
2021,Not Helpful,Missing important context,39,0,1.6250365633226748e-05,0.0,1.6250365633226748e-05
2021,Not Helpful,Other,6,0,2.5000562512656535e-06,0.0,2.5000562512656535e-06
2021,Not Helpful,Outdated information,2,0,8.333520837552178e-07,0.0,8.333520837552178e-07
2021,Not Helpful,Satire,4,0,1.6667041675104356e-06,0.0,1.6667041675104356e-06
2021,Not Helpful,Unverified claim as fact,14,0,5.833464586286525e-06,0.0,5.833464586286525e-06
2022,Helpful,Factual error,948,8,0.00039500888769997323,0.0004,4.991112300026788e-06
2022,Helpful,Manipulated media,265,2,0.00011041915109756636,0.0001,1.0419151097566353e-05
2022,Helpful,Missing important context,429,4,0.00017875402196549422,0.0002,2.124597803450579e-05
2022,Helpful,Other,11,0,4.583436460653698e-06,0.0,4.583436460653698e-06
2022,Helpful,Outdated information,98,1,4.0834252104005676e-05,5e-05,9.165747895994326e-06
2022,Helpful,Satire,62,1,2.5833914596411753e-05,5e-05,2.416608540358825e-05
2022,Helpful,Unverified claim as fact,51,0,2.1250478135758056e-05,0.0,2.1250478135758056e-05
2022,Need More Ratings,Factual error,7771,65,0.003237989521430899,0.00325,1.2010478569100813e-05
2022,Need More Ratings,Manipulated media,744,6,0.000310006975156941,0.0003,1.0006975156941049e-05
2022,Need More Ratings,Missing important context,3824,32,0.0015933691841399766,0.0016,6.630815860023511e-06
2022,Need More Ratings,Not misleading,2645,22,0.0011021081307662755,0.0011,2.1081307662754265e-06
2022,Need More Ratings,Other,221,2,9.208540525495157e-05,0.0001,7.914594745048436e-06
2022,Need More Ratings,Outdated information,563,5,0.00023458861157709383,0.00025,1.5411388422906176e-05
2022,Need More Ratings,Satire,230,2,9.583548963185005e-05,0.0001,4.16451036814996e-06
2022,Need More Ratings,Unverified claim as fact,706,6,0.0002941732855655919,0.0003,5.826714434408072e-06
2022,Not Helpful,Factual error,189,2,7.875177191486809e-05,0.0001,2.1248228085131915e-05
2022,Not Helpful,Manipulated media,28,0,1.166692917257305e-05,0.0,1.166692917257305e-05
2022,Not Helpful,Missing important context,143,1,5.958467398849807e-05,5e-05,9.58467398849807e-06
2022,Not Helpful,Not misleading,95,1,3.958422397837285e-05,5e-05,1.0415776021627154e-05
2022,Not Helpful,Other,40,0,1.6667041675104358e-05,0.0,1.6667041675104358e-05
2022,Not Helpful,Outdated information,21,0,8.750196879429788e-06,0.0,8.750196879429788e-06
2022,Not Helpful,Satire,9,0,3.7500843768984804e-06,0.0,3.7500843768984804e-06
2022,Not Helpful,Unverified claim as fact,57,1,2.3750534387023708e-05,5e-05,2.6249465612976295e-05
2023,Helpful,Factual error,17529,146,0.007303914338072606,0.0073,3.914338072606195e-06
2023,Helpful,Manipulated media,5017,42,0.002090463702099964,0.0021,9.536297900035896e-06
2023,Helpful,Missing important context,7875,66,0.0032813238297861704,0.0033,1.86761702138296e-05
2023,Helpful,Not misleading,2,0,8.333520837552178e-07,0.0,8.333520837552178e-07
2023,Helpful,Other,882,7,0.00036750826893605106,0.00035,1.7508268936051064e-05
2023,Helpful,Outdated information,2169,18,0.0009037703348325337,0.0009,3.770334832533715e-06
2023,Helpful,Satire,583,5,0.000242922132414646,0.00025,7.077867585354009e-06
