distribution,population_count,population_prop,year,sample_count,sample_prop,abs_prop_diff,status_label,primary_topic
year,17208,0.0071701613286298,2021,152,0.007077668094617247,9.249323401255317e-05,,
year,19150,0.0079793462019562,2022,159,0.007403613335816726,0.0005757328661394742,,
year,368909,0.1537155419330268,2023,3210,0.1494691748929037,0.0042463670401231,,
year,1003944,0.4183194121867742,2024,8618,0.40128515552244365,0.01703425666433056,,
year,735185,0.3063339758477899,2025,6869,0.3198454088284597,0.013511432980669813,,
year,255550,0.1064815625018229,2026,2468,0.114918979325759,0.00843741682393609,,
status,221992,0.0924987478884941,,1574,0.07329111566399701,0.01920763222449709,Helpful,
status,2091064,0.8712962708327604,,19075,0.8882007822685789,0.016904511435818503,Need More Ratings,
status,86890,0.0362049812787454,,827,0.0385081020674241,0.0023031207886787045,Not Helpful,
primary_topic,951692,0.3965472556465854,,8622,0.40147140994598624,0.004924154299400851,,Factual error
primary_topic,198824,0.0828451973502737,,1567,0.07296517042279754,0.009880026927476152,,Manipulated media
primary_topic,412280,0.1717871985453006,,3620,0.168560253306016,0.003226945239284601,,Missing important context
primary_topic,538377,0.2243287973979414,,5195,0.24189793257589867,0.017569135177957274,,Not misleading
primary_topic,94639,0.039433803927255,,688,0.03203576084932017,0.007398043077934825,,Other
primary_topic,120942,0.0503936338567617,,1041,0.048472713726951014,0.0019209201298106895,,Outdated information
primary_topic,22131,0.0092214574827933,,178,0.008288321847643882,0.000933135635149419,,Satire
primary_topic,61061,0.0254426557930886,,565,0.02630843732538648,0.0008657815322978789,,Unverified claim as fact
year_status,549,0.0002287551469908,2021,4,0.00018625442354255913,4.250072344824088e-05,Helpful,
year_status,16534,0.0068893216764043,2021,148,0.006891413671074688,2.0919946703877937e-06,Need More Ratings,
year_status,125,5.208450523470111e-05,2021,0,0.0,5.208450523470111e-05,Not Helpful,
year_status,1864,0.0007766841420598,2022,15,0.0006984540882845968,7.823005377520325e-05,Helpful,
year_status,16704,0.0069601566035235,2022,140,0.00651890482398957,0.00044125177953392974,Need More Ratings,
year_status,582,0.0002425054563727,2022,4,0.00018625442354255913,5.625103283014087e-05,Not Helpful,
year_status,35023,0.0145932450146794,2023,237,0.01103557459489663,0.00355767041978277,Helpful,
year_status,321842,0.1341038506699734,2023,2858,0.1330787856211585,0.001025065048814916,Need More Ratings,
year_status,12044,0.0050184462483739,2023,115,0.005354814676848575,0.0003363684284746751,Not Helpful,
year_status,91176,0.0379908547942328,2024,599,0.02789159992549823,0.010099254868734572,Helpful,
year_status,879380,0.3664165777063317,2024,7713,0.35914509219593965,0.007271485510392028,Need More Ratings,
year_status,33388,0.0139119796862096,2024,306,0.014248463401005773,0.0003364837147961739,Not Helpful,
year_status,67658,0.0281914676413552,2025,507,0.02360774818401937,0.004583719457335829,Helpful,
year_status,637699,0.2657138952293093,2025,6073,0.28278077854349043,0.017066883314181103,Need More Ratings,
year_status,29828,0.0124286129771253,2025,289,0.013456882100949898,0.0010282691238245982,Not Helpful,
year_status,25722,0.0107177411491758,2026,212,0.009871484447755634,0.0008462567014201651,Helpful,
year_status,218905,0.0912124689472179,2026,2143,0.09978580741292606,0.008573338465708152,Need More Ratings,
year_status,10923,0.0045513524054291,2026,113,0.005261687465077295,0.0007103350596481955,Not Helpful,
status_topic,108643,0.045268935217709,,813,0.03785621158502515,0.007412723632683853,Helpful,Factual error
status_topic,35222,0.0146761635470131,,255,0.011873719500838145,0.0028024440461749556,Helpful,Manipulated media
status_topic,44490,0.0185379171031348,,305,0.014201899795120133,0.004336017308014667,Helpful,Missing important context
status_topic,2,8.333520837552178e-07,,0,0.0,8.333520837552178e-07,Helpful,Not misleading
status_topic,10419,0.0043413476803228,,37,0.001722853417768672,0.0026184942625541276,Helpful,Other
status_topic,15078,0.0062826413594305,,94,0.0043769789532501395,0.0019056624061803609,Helpful,Outdated information
status_topic,2640,0.0011000247505568,,19,0.0008847085118271559,0.00021531623872964424,Helpful,Satire
status_topic,5498,0.002290884878243,,51,0.002374743900167629,8.385902192462914e-05,Helpful,Unverified claim as fact
status_topic,819302,0.3413835144624087,,7576,0.35276587818960703,0.011382363727198308,Need More Ratings,Factual error
