reason_label,positive_notes,positive_share
helpfulClear,13552,0.6310299869621904
helpfulAddressesClaim,13130,0.6113801452784504
helpfulImportantContext,11457,0.533479232631775
helpfulGoodSources,5330,0.24818401937046006
notHelpfulMissingKeyPoints,3907,0.18192400819519464
notHelpfulNoteNotNeeded,3175,0.14783944868690632
notHelpfulArgumentativeOrBiased,2297,0.10695660271931458
notHelpfulIncorrect,1759,0.08190538275284039
notHelpfulSourcesMissingOrUnreliable,1203,0.05601601788042466
helpfulUnbiasedLanguage,717,0.033386105420003725
notHelpfulIrrelevantSources,545,0.025377165207673684
notHelpfulSpamHarassmentOrAbuse,208,0.009685230024213076
notHelpfulHardToUnderstand,125,0.005820450735704973
helpfulInformative,21,0.0009778357235984355
notHelpfulOpinionSpeculationOrBias,8,0.00037250884708511827
helpfulEmpathetic,5,0.00023281802942819892
helpfulUniqueContext,5,0.00023281802942819892
notHelpfulOffTopic,1,4.6563605885639784e-05
