noteId,tweetId,currentStatus,true_label_3way,true_label_text,n_votes,valid_votes,mean_rating_score,vote_helpful,vote_somewhat_helpful,vote_not_helpful,agree_rate,disagree_rate,helpful_clear_rate,helpful_good_sources_rate,helpful_addresses_claim_rate,helpful_important_context_rate,helpful_unbiased_language_rate,not_helpful_incorrect_rate,not_helpful_sources_missing_or_unreliable_rate,not_helpful_missing_key_points_rate,not_helpful_hard_to_understand_rate,not_helpful_argumentative_or_biased_rate,not_helpful_irrelevant_sources_rate,not_helpful_opinion_speculation_rate,not_helpful_note_not_needed_rate,mean_confidence,mean_changes_reader_understanding
1430799665243504645,1430230421615386627,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,16,16,0.8125,13,0,3,0.625,-0.625,0.625,0.75,0.625,0.375,0.875,-1.0,-1.0,-0.625,-1.0,-1.0,-0.875,-1.0,-1.0,77.875,62.1875
1529819034476240897,1529235231294865410,CURRENTLY_RATED_NOT_HELPFUL,0,NOT_HELPFUL,16,16,0.0,0,0,16,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.875,-0.5,0.25,-1.0,1.0,-0.5,0.75,-0.375,77.125,10.9375
1578535828590104576,1577830046168858624,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,16,16,0.0625,1,0,15,-0.875,0.875,-0.875,-0.875,-0.875,-0.875,-0.875,-0.25,0.0,0.0,-1.0,-0.75,-0.375,-0.375,-0.75,71.875,19.1875
1592590624800186368,1591972667804233730,CURRENTLY_RATED_HELPFUL,2,HELPFUL,16,16,1.0,16,0,0,1.0,-1.0,1.0,0.875,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.625,72.875
1644662258310447105,1644418535106412544,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,16,16,0.0,0,0,16,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.625,0.75,-1.0,0.0,0.875,-1.0,-1.0,74.25,9.375
1646157599396573184,1646062033299730432,CURRENTLY_RATED_HELPFUL,2,HELPFUL,16,16,0.625,10,0,6,0.25,-0.25,0.25,0.25,0.25,0.125,0.375,-0.75,-0.875,-0.25,-1.0,-1.0,-0.75,-0.875,-1.0,78.625,53.8125
1649849450175635458,1649846870896701442,CURRENTLY_RATED_HELPFUL,2,HELPFUL,16,16,0.1875,3,0,13,-0.625,0.625,-0.625,-1.0,-0.625,-0.75,0.0,-0.375,-0.25,0.25,-1.0,-1.0,-0.125,-1.0,-1.0,69.0,28.8125
1651733910576066566,1651713447300677632,CURRENTLY_RATED_NOT_HELPFUL,0,NOT_HELPFUL,16,16,0.0,0,0,16,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.875,-0.5,-0.375,0.25,-1.0,-0.75,-0.25,0.25,-1.0,74.5,19.1875
1654909483456294918,1654899298830540801,CURRENTLY_RATED_NOT_HELPFUL,0,NOT_HELPFUL,16,16,0.0,0,0,16,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-0.25,0.0,-1.0,1.0,0.875,-0.375,-0.125,78.125,8.5625
1664165128743313408,1663760409348788225,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,16,16,0.4375,7,0,9,-0.125,0.125,-0.125,-1.0,-0.125,-0.125,0.125,0.0,-1.0,-0.5,-1.0,-1.0,-0.625,-0.75,-1.0,66.0625,50.8125
