noteId,tweetId,currentStatus,true_label_3way,true_label_text,n_votes,valid_votes,mean_rating_score,vote_helpful,vote_somewhat_helpful,vote_not_helpful,agree_rate,disagree_rate,helpful_clear_rate,helpful_good_sources_rate,helpful_addresses_claim_rate,helpful_important_context_rate,helpful_unbiased_language_rate,not_helpful_incorrect_rate,not_helpful_sources_missing_or_unreliable_rate,not_helpful_missing_key_points_rate,not_helpful_hard_to_understand_rate,not_helpful_argumentative_or_biased_rate,not_helpful_irrelevant_sources_rate,not_helpful_opinion_speculation_rate,not_helpful_note_not_needed_rate,mean_confidence,mean_changes_reader_understanding
1357424386962120706,1357421545161846784,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,16,16,0.0625,0,2,14,0.125,-0.375,-0.75,-1.0,-0.75,-1.0,-0.625,-0.875,-1.0,-0.5,-1.0,-1.0,-0.875,-1.0,0.875,81.75,8.625
1367205308590936071,1367181767786917888,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,16,16,0.34375,0,11,5,0.25,-0.5,-1.0,0.25,0.125,0.25,-0.75,-0.75,-0.875,-0.5,-1.0,-0.25,-0.625,-0.875,-1.0,70.0,42.5
1372318708270530573,1372290645189083136,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,16,16,0.15625,0,5,11,-0.875,0.875,-0.875,-1.0,-0.25,-0.5,-0.375,0.125,0.625,0.125,-0.625,-0.875,-0.75,-0.125,-0.875,64.6875,31.1875
1378300915900411911,997203374868254721,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,16,16,0.5,0,16,0,1.0,-1.0,0.375,0.0,0.875,-0.25,0.625,-1.0,-0.25,-0.375,-1.0,-1.0,-1.0,-1.0,-1.0,74.125,53.9375
1387538598854017026,1387244216468738053,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,16,16,0.53125,1,15,0,0.5,-0.625,-0.375,0.625,1.0,0.0,-0.25,-1.0,-0.75,-0.625,-1.0,-1.0,-1.0,-1.0,-1.0,73.625,60.25
1407420142712197123,1407395995147776001,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,16,16,0.1875,0,6,10,-0.5,0.5,-0.875,-1.0,-0.375,-0.625,-1.0,-0.625,0.75,0.25,-1.0,0.875,-0.625,-1.0,-0.875,73.25,25.5625
1422417792402345994,1421506053053861888,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,16,16,0.96875,15,1,0,1.0,-1.0,0.875,1.0,1.0,0.625,0.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,88.8125,81.5
1433768130463944711,1433193526389510150,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,16,16,0.5,0,16,0,0.875,-1.0,0.125,1.0,0.25,0.125,0.5,-1.0,-1.0,0.125,-1.0,-1.0,-1.0,-0.75,-1.0,66.625,47.875
1433830355455381506,1433189523698114567,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,16,16,0.0,0,0,16,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.125,-0.125,-1.0,-0.375,-1.0,0.125,-1.0,83.75,14.5
1434004313815326722,1433524027675463685,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,16,16,0.5,0,16,0,1.0,-1.0,-0.25,0.75,0.125,0.125,0.75,-1.0,-0.875,0.0,-1.0,-1.0,-0.875,-1.0,-1.0,67.75,49.5625
1435411483052199937,1435053507724279812,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,16,16,0.375,0,12,4,-0.625,-0.25,-1.0,-1.0,-0.75,-0.125,0.125,-0.75,-0.125,0.5,-0.875,-0.75,-0.375,-0.125,-0.875,69.5,29.5625
