method,accuracy,balanced_accuracy,resolved_coverage,h_to_nh,nh_to_h,recall_not_helpful,n_not_helpful,recall_needs_more_ratings,n_needs_more_ratings,recall_helpful,n_helpful,accuracy_pct,balanced_accuracy_pct,resolved_coverage_pct,recall_not_helpful_pct,recall_needs_more_ratings_pct,recall_helpful_pct
direct_rf_compact_dNone_l6,0.5614035087719298,0.5614035087719299,0.706140350877193,10,5,0.7236842105263158,76,0.3815789473684211,76,0.5789473684210527,76,56.14035087719298,56.14035087719299,70.6140350877193,72.36842105263158,38.15789473684211,57.89473684210527
direct_svc_full_C1.0,0.5570175438596491,0.5570175438596491,0.7192982456140351,12,5,0.7105263157894737,76,0.3684210526315789,76,0.5921052631578947,76,55.70175438596491,55.70175438596491,71.9298245614035,71.05263157894737,36.84210526315789,59.210526315789465
direct_svc_compact_C0.3,0.5526315789473685,0.5526315789473685,0.7631578947368421,9,7,0.7631578947368421,76,0.2894736842105263,76,0.6052631578947368,76,55.26315789473685,55.26315789473685,76.31578947368422,76.31578947368422,28.947368421052634,60.526315789473685
direct_rf_compact_d3_l3,0.5526315789473685,0.5526315789473685,0.7456140350877193,12,6,0.7236842105263158,76,0.32894736842105265,76,0.6052631578947368,76,55.26315789473685,55.26315789473685,74.56140350877193,72.36842105263158,32.89473684210527,60.526315789473685
direct_svc_vote_C3.0,0.5482456140350878,0.5482456140350878,0.9078947368421053,21,7,0.8421052631578947,76,0.14473684210526316,76,0.6578947368421053,76,54.824561403508774,54.824561403508774,90.78947368421053,84.21052631578947,14.473684210526317,65.78947368421053
direct_svc_compact_C1.0,0.5482456140350878,0.5482456140350878,0.7149122807017544,10,6,0.7105263157894737,76,0.35526315789473684,76,0.5789473684210527,76,54.824561403508774,54.824561403508774,71.49122807017544,71.05263157894737,35.526315789473685,57.89473684210527
direct_lr_vote_official_C0.03_none,0.5482456140350878,0.5482456140350878,0.7368421052631579,12,7,0.6578947368421053,76,0.34210526315789475,76,0.6447368421052632,76,54.824561403508774,54.824561403508774,73.68421052631578,65.78947368421053,34.21052631578947,64.47368421052632
direct_lr_vote_C1.0_none,0.543859649122807,0.5438596491228069,0.8728070175438597,21,6,0.8421052631578947,76,0.18421052631578946,76,0.6052631578947368,76,54.385964912280706,54.38596491228069,87.28070175438597,84.21052631578947,18.421052631578945,60.526315789473685
direct_extra_full_d3_l3,0.543859649122807,0.5438596491228069,0.8464912280701754,19,6,0.8157894736842105,76,0.21052631578947367,76,0.6052631578947368,76,54.385964912280706,54.38596491228069,84.64912280701753,81.57894736842105,21.052631578947366,60.526315789473685
direct_lr_full_C0.3_none,0.5394736842105263,0.5394736842105264,0.6710526315789473,10,4,0.6578947368421053,76,0.39473684210526316,76,0.5657894736842105,76,53.94736842105263,53.947368421052644,67.10526315789474,65.78947368421053,39.473684210526315,56.57894736842105
direct_lr_compact_C0.03_none,0.5394736842105263,0.5394736842105263,0.7543859649122807,11,6,0.7105263157894737,76,0.2894736842105263,76,0.618421052631579,76,53.94736842105263,53.94736842105263,75.43859649122807,71.05263157894737,28.947368421052634,61.8421052631579
direct_lr_compact_C0.3_none,0.5394736842105263,0.5394736842105263,0.7105263157894737,10,7,0.6447368421052632,76,0.35526315789473684,76,0.618421052631579,76,53.94736842105263,53.94736842105263,71.05263157894737,64.47368421052632,35.526315789473685,61.8421052631579
