fold,c,class_weight,decision_rule,a,b,inner_accuracy,inner_balanced_accuracy,inner_h_to_nh,inner_nh_to_h,inner_cross_error,inner_recall_not_helpful,inner_n_not_helpful,inner_recall_needs_more_ratings,inner_n_needs_more_ratings,inner_recall_helpful,inner_n_helpful,test_accuracy,test_balanced_accuracy,test_h_to_nh,test_nh_to_h,test_cross_error,test_recall_not_helpful,test_n_not_helpful,test_recall_needs_more_ratings,test_n_needs_more_ratings,test_recall_helpful,test_n_helpful,method,n_features
1,0.01,none,margin_to_nmr,0.16,0.2,0.5659340659340659,0.5645719489981785,13,5,18,0.7704918032786885,61,0.31666666666666665,60,0.6065573770491803,61,0.5434782608695652,0.5527777777777777,2,0,2,0.8,15,0.125,16,0.7333333333333333,15,full_reference,84
2,0.03,none,resolved_gap,0.1,0.0,0.6153846153846154,0.615391621129326,4,4,8,0.6166666666666667,60,0.5737704918032787,61,0.6557377049180327,61,0.4782608695652174,0.4763888888888889,2,1,3,0.5625,16,0.4,15,0.4666666666666667,15,full_reference,84
3,0.01,none,margin_to_nmr,0.2,0.2,0.5714285714285714,0.5717668488160291,11,3,14,0.8032786885245902,61,0.2786885245901639,61,0.6333333333333333,60,0.6304347826086957,0.6319444444444445,1,1,2,0.8,15,0.5333333333333333,15,0.5625,16,full_reference,84
4,0.03,none,margin_to_nmr,0.24,0.2,0.5737704918032787,0.5737704918032787,6,4,10,0.6721311475409836,61,0.39344262295081966,61,0.6557377049180327,61,0.5333333333333333,0.5333333333333333,3,1,4,0.7333333333333333,15,0.26666666666666666,15,0.6,15,full_reference,84
5,0.3,balanced,margin_to_nmr,0.08,0.2,0.5737704918032787,0.5737704918032787,10,6,16,0.8032786885245902,61,0.19672131147540983,61,0.7213114754098361,61,0.5555555555555556,0.5555555555555556,3,3,6,0.8,15,0.06666666666666667,15,0.8,15,full_reference,84
1,0.1,balanced,margin_to_nmr,0.24,0.4,0.5494505494505495,0.5470856102003643,18,5,23,0.8688524590163934,61,0.11666666666666667,60,0.6557377049180327,61,0.5,0.5111111111111111,5,2,7,0.8666666666666667,15,0.0,16,0.6666666666666666,15,vote_only,13
2,0.01,none,margin_to_nmr,0.12,0.2,0.5494505494505495,0.5510928961748633,18,7,25,0.85,60,0.14754098360655737,61,0.6557377049180327,61,0.5,0.4930555555555555,3,0,3,0.8125,16,0.13333333333333333,15,0.5333333333333333,15,vote_only,13
3,3.0,balanced,margin_to_nmr,0.24,0.2,0.5714285714285714,0.5717668488160291,15,4,19,0.8524590163934426,61,0.22950819672131148,61,0.6333333333333333,60,0.45652173913043476,0.45416666666666666,6,2,8,0.8,15,0.0,15,0.5625,16,vote_only,13
4,0.01,none,margin_to_nmr,0.2,0.2,0.5519125683060109,0.551912568306011,16,4,20,0.8688524590163934,61,0.14754098360655737,61,0.639344262295082,61,0.4888888888888889,0.4888888888888889,5,3,8,0.7333333333333333,15,0.13333333333333333,15,0.6,15,vote_only,13
5,0.01,none,resolved_gap,0.05,0.0,0.5136612021857924,0.5136612021857924,19,6,25,0.8032786885245902,61,0.14754098360655737,61,0.5901639344262295,61,0.6444444444444445,0.6444444444444444,2,0,2,1.0,15,0.2,15,0.7333333333333333,15,vote_only,13
1,0.3,none,resolved_gap,0.1,0.0,0.5714285714285714,0.5697632058287796,16,5,21,0.8360655737704918,61,0.26666666666666666,60,0.6065573770491803,61,0.6086956521739131,0.6166666666666667,4,0,4,0.8666666666666667,15,0.25,16,0.7333333333333333,15,vote_plus_official_helpful_reasons,19
2,3.0,balanced,margin_to_nmr,0.2,0.2,0.5604395604395604,0.5621129326047359,17,4,21,0.8666666666666667,60,0.16393442622950818,61,0.6557377049180327,61,0.5,0.4916666666666667,6,0,6,0.875,16,0.2,15,0.4,15,vote_plus_official_helpful_reasons,19
3,10.0,balanced,margin_to_nmr,0.24,0.2,0.5659340659340659,0.5659380692167577,20,2,22,0.8852459016393442,61,0.2459016393442623,61,0.5666666666666667,60,0.5434782608695652,0.5388888888888889,2,1,3,0.8,15,0.06666666666666667,15,0.75,16,vote_plus_official_helpful_reasons,19
4,10.0,none,margin_to_nmr,0.16,0.2,0.5573770491803278,0.5573770491803279,16,4,20,0.8852459016393442,61,0.13114754098360656,61,0.6557377049180327,61,0.5555555555555556,0.5555555555555555,4,0,4,0.9333333333333333,15,0.2,15,0.5333333333333333,15,vote_plus_official_helpful_reasons,19
5,0.01,balanced,margin_to_nmr,0.24,0.35,0.5737704918032787,0.5737704918032788,16,4,20,0.8032786885245902,61,0.29508196721311475,61,0.6229508196721312,61,0.4666666666666667,0.4666666666666666,4,1,5,0.8,15,0.13333333333333333,15,0.4666666666666667,15,vote_plus_official_helpful_reasons,19
1,0.03,balanced,resolved_gap,-0.05,0.0,0.5824175824175825,0.5808743169398908,11,6,17,0.8032786885245902,61,0.3,60,0.639344262295082,61,0.5434782608695652,0.5513888888888888,3,3,6,0.7333333333333333,15,0.1875,16,0.7333333333333333,15,vote_plus_official_not_helpful_reasons,26
2,0.03,none,argmax,0.0,0.0,0.5714285714285714,0.5722222222222223,11,6,17,0.7166666666666667,60,0.32786885245901637,61,0.6721311475409836,61,0.5217391304347826,0.5180555555555556,3,2,5,0.6875,16,0.3333333333333333,15,0.5333333333333333,15,vote_plus_official_not_helpful_reasons,26
3,0.03,none,margin_to_nmr,0.24,0.2,0.5659340659340659,0.5663023679417122,7,3,10,0.6721311475409836,61,0.39344262295081966,61,0.6333333333333333,60,0.5217391304347826,0.5236111111111111,2,1,3,0.6666666666666666,15,0.4666666666666667,15,0.4375,16,vote_plus_official_not_helpful_reasons,26
4,0.1,none,margin_to_nmr,0.2,0.3,0.5409836065573771,0.5409836065573771,7,7,14,0.6885245901639344,61,0.3114754098360656,61,0.6229508196721312,61,0.6,0.6,1,0,1,0.7333333333333333,15,0.2,15,0.8666666666666667,15,vote_plus_official_not_helpful_reasons,26
5,0.03,none,margin_to_nmr,0.24,0.2,0.5628415300546448,0.5628415300546448,7,5,12,0.6721311475409836,61,0.3770491803278688,61,0.639344262295082,61,0.5555555555555556,0.5555555555555555,3,1,4,0.7333333333333333,15,0.3333333333333333,15,0.6,15,vote_plus_official_not_helpful_reasons,26
1,0.01,none,resolved_gap,0.1,0.0,0.5714285714285714,0.5712204007285974,5,5,10,0.5737704918032787,61,0.5333333333333333,60,0.6065573770491803,61,0.5869565217391305,0.5902777777777777,5,1,6,0.6666666666666666,15,0.4375,16,0.6666666666666666,15,vote_plus_confidence,15
2,0.01,balanced,margin_to_nmr,0.24,0.2,0.5714285714285714,0.5714936247723134,10,5,15,0.5833333333333334,60,0.5409836065573771,61,0.5901639344262295,61,0.6086956521739131,0.6041666666666666,1,0,1,0.8125,16,0.4,15,0.6,15,vote_plus_confidence,15
3,0.01,none,resolved_gap,0.1,0.0,0.5824175824175825,0.5826047358834244,6,2,8,0.6065573770491803,61,0.5245901639344263,61,0.6166666666666667,60,0.5652173913043478,0.5652777777777778,4,3,7,0.6,15,0.5333333333333333,15,0.5625,16,vote_plus_confidence,15
4,0.01,balanced,margin_to_nmr,0.2,0.2,0.5683060109289617,0.5683060109289617,9,5,14,0.6557377049180327,61,0.45901639344262296,61,0.5901639344262295,61,0.5777777777777777,0.5777777777777778,0,0,0,0.6,15,0.4,15,0.7333333333333333,15,vote_plus_confidence,15
5,0.3,none,resolved_gap,0.05,0.0,0.5956284153005464,0.5956284153005464,11,4,15,0.7049180327868853,61,0.4426229508196721,61,0.639344262295082,61,0.5111111111111111,0.5111111111111111,1,1,2,0.4666666666666667,15,0.5333333333333333,15,0.5333333333333333,15,vote_plus_confidence,15
1,0.3,none,resolved_gap,0.1,0.0,0.5659340659340659,0.5652094717668489,9,2,11,0.6885245901639344,61,0.43333333333333335,60,0.5737704918032787,61,0.6086956521739131,0.6097222222222222,2,1,3,0.6666666666666666,15,0.5625,16,0.6,15,vote_plus_understanding,15
2,10.0,none,margin_to_nmr,0.2,0.4,0.5714285714285714,0.5719489981785064,7,3,10,0.6666666666666666,60,0.32786885245901637,61,0.7213114754098361,61,0.5217391304347826,0.5180555555555556,2,0,2,0.6875,16,0.13333333333333333,15,0.7333333333333333,15,vote_plus_understanding,15
3,3.0,none,margin_to_nmr,0.2,0.2,0.5769230769230769,0.5774134790528233,8,5,13,0.6721311475409836,61,0.39344262295081966,61,0.6666666666666666,60,0.5434782608695652,0.5416666666666666,1,0,1,0.6,15,0.4,15,0.625,16,vote_plus_understanding,15
4,1.0,none,margin_to_nmr,0.24,0.35,0.5683060109289617,0.5683060109289618,6,4,10,0.7213114754098361,61,0.26229508196721313,61,0.7213114754098361,61,0.5111111111111111,0.5111111111111111,4,2,6,0.5333333333333333,15,0.4,15,0.6,15,vote_plus_understanding,15
5,1.0,balanced,margin_to_nmr,0.16,0.2,0.5846994535519126,0.5846994535519126,11,6,17,0.7868852459016393,61,0.26229508196721313,61,0.7049180327868853,61,0.5333333333333333,0.5333333333333333,1,2,3,0.6666666666666666,15,0.26666666666666666,15,0.6666666666666666,15,vote_plus_understanding,15
1,1.0,none,margin_to_nmr,0.16,0.25,0.5494505494505495,0.5478142076502732,10,7,17,0.7049180327868853,61,0.25,60,0.6885245901639344,61,0.5869565217391305,0.5944444444444444,2,1,3,0.8,15,0.25,16,0.7333333333333333,15,drop_confidence,82
2,0.03,none,margin_to_nmr,0.24,0.25,0.5769230769230769,0.5777777777777778,10,5,15,0.7333333333333333,60,0.3442622950819672,61,0.6557377049180327,61,0.5434782608695652,0.5430555555555556,4,0,4,0.5625,16,0.6,15,0.4666666666666667,15,drop_confidence,82
3,0.3,balanced,margin_to_nmr,0.16,0.2,0.5769230769230769,0.5777777777777778,10,5,15,0.7213114754098361,61,0.2786885245901639,61,0.7333333333333333,60,0.43478260869565216,0.43194444444444446,5,2,7,0.6,15,0.13333333333333333,15,0.5625,16,drop_confidence,82
4,0.01,balanced,margin_to_nmr,0.16,0.2,0.5573770491803278,0.5573770491803279,17,4,21,0.7868852459016393,61,0.2459016393442623,61,0.639344262295082,61,0.5555555555555556,0.5555555555555555,3,1,4,0.8666666666666667,15,0.06666666666666667,15,0.7333333333333333,15,drop_confidence,82
5,0.01,none,resolved_gap,0.05,0.0,0.5737704918032787,0.5737704918032787,9,4,13,0.7377049180327869,61,0.4098360655737705,61,0.5737704918032787,61,0.4666666666666667,0.4666666666666666,1,1,2,0.6,15,0.2,15,0.6,15,drop_confidence,82
1,0.01,none,resolved_gap,0.05,0.0,0.5769230769230769,0.5762295081967214,4,5,9,0.6557377049180327,61,0.45,60,0.6229508196721312,61,0.5652173913043478,0.5694444444444445,3,1,4,0.8,15,0.375,16,0.5333333333333333,15,drop_changes_reader_understanding,82
2,0.01,none,argmax,0.0,0.0,0.554945054945055,0.5560109289617486,10,5,15,0.75,60,0.2786885245901639,61,0.639344262295082,61,0.6086956521739131,0.6027777777777779,3,1,4,0.875,16,0.4666666666666667,15,0.4666666666666667,15,drop_changes_reader_understanding,82
3,0.01,none,margin_to_nmr,0.2,0.2,0.6098901098901099,0.6099271402550092,7,4,11,0.7868852459016393,61,0.4262295081967213,61,0.6166666666666667,60,0.5434782608695652,0.5402777777777777,1,1,2,0.5333333333333333,15,0.4,15,0.6875,16,drop_changes_reader_understanding,82
4,0.01,none,resolved_gap,0.1,0.0,0.5846994535519126,0.5846994535519126,4,3,7,0.6557377049180327,61,0.4918032786885246,61,0.6065573770491803,61,0.5555555555555556,0.5555555555555555,1,0,1,0.6,15,0.4666666666666667,15,0.6,15,drop_changes_reader_understanding,82
5,0.01,balanced,margin_to_nmr,0.2,0.2,0.5956284153005464,0.5956284153005464,12,3,15,0.7540983606557377,61,0.4098360655737705,61,0.6229508196721312,61,0.5111111111111111,0.5111111111111111,2,3,5,0.5333333333333333,15,0.26666666666666666,15,0.7333333333333333,15,drop_changes_reader_understanding,82
1,0.01,balanced,margin_to_nmr,0.16,0.2,0.5604395604395604,0.559016393442623,12,5,17,0.7377049180327869,61,0.3,60,0.639344262295082,61,0.6521739130434783,0.6583333333333333,1,1,2,0.8666666666666667,15,0.375,16,0.7333333333333333,15,drop_per_agent_features,36
2,0.01,none,margin_to_nmr,0.16,0.2,0.5989010989010989,0.6000910746812386,10,6,16,0.8166666666666667,60,0.29508196721311475,61,0.6885245901639344,61,0.4782608695652174,0.4749999999999999,5,1,6,0.625,16,0.3333333333333333,15,0.4666666666666667,15,drop_per_agent_features,36
3,0.1,balanced,nmr_gate,0.4799999999999999,0.0,0.5604395604395604,0.5610200364298725,12,9,21,0.7540983606557377,61,0.26229508196721313,61,0.6666666666666666,60,0.6304347826086957,0.6222222222222222,0,2,2,0.8,15,0.06666666666666667,15,1.0,16,drop_per_agent_features,36
