method,n_features,accuracy,balanced_accuracy,h_to_nh,nh_to_h,cross_error,recall_not_helpful,n_not_helpful,recall_needs_more_ratings,n_needs_more_ratings,recall_helpful,n_helpful,fold_accuracy_mean,fold_accuracy_se,fold_balanced_accuracy_mean,fold_balanced_accuracy_se,accuracy_pct,balanced_accuracy_pct,recall_not_helpful_pct,recall_needs_more_ratings_pct,recall_helpful_pct,fold_accuracy_mean_pct,fold_accuracy_se_pct,fold_balanced_accuracy_mean_pct,fold_balanced_accuracy_se_pct
vote_plus_confidence,15,0.5701754385964912,0.5701754385964912,11,5,16,0.631578947368421,76,0.4605263157894737,76,0.618421052631579,76,0.5699516908212561,0.016334218477531214,0.5697222222222222,0.016013834682379102,57.01754385964912,57.01754385964912,63.1578947368421,46.05263157894737,61.8421052631579,56.99516908212561,1.6334218477531213,56.97222222222222,1.6013834682379102
drop_per_agent_features,36,0.5701754385964912,0.5701754385964911,12,8,20,0.7105263157894737,76,0.3026315789473684,76,0.6973684210526315,76,0.5699516908212561,0.0334285554426243,0.5688888888888889,0.03396848575799868,57.01754385964912,57.01754385964911,71.05263157894737,30.263157894736842,69.73684210526315,56.99516908212561,3.34285554426243,56.888888888888886,3.3968485757998677
drop_changes_reader_understanding,82,0.5570175438596491,0.5570175438596491,10,6,16,0.6710526315789473,76,0.39473684210526316,76,0.6052631578947368,76,0.5568115942028985,0.01585954359704982,0.5558333333333334,0.015217051027558177,55.70175438596491,55.70175438596491,67.10526315789474,39.473684210526315,60.526315789473685,55.68115942028985,1.5859543597049819,55.58333333333334,1.5217051027558177
full_reference,84,0.5482456140350878,0.5482456140350876,11,6,17,0.7368421052631579,76,0.27631578947368424,76,0.631578947368421,76,0.5482125603864734,0.024445303683510406,0.55,0.024949795268711477,54.824561403508774,54.82456140350877,73.68421052631578,27.631578947368425,63.1578947368421,54.821256038647334,2.4445303683510407,55.00000000000001,2.494979526871148
vote_plus_official_not_helpful_reasons,26,0.5482456140350878,0.5482456140350876,12,7,19,0.7105263157894737,76,0.3026315789473684,76,0.631578947368421,76,0.5485024154589372,0.014421402460739762,0.5497222222222222,0.014576056385493507,54.824561403508774,54.82456140350877,71.05263157894737,30.263157894736842,63.1578947368421,54.85024154589372,1.4421402460739763,54.97222222222222,1.4576056385493508
vote_plus_understanding,15,0.543859649122807,0.543859649122807,10,5,15,0.631578947368421,76,0.35526315789473684,76,0.6447368421052632,76,0.543671497584541,0.017140978905340328,0.5427777777777777,0.017586865539548895,54.385964912280706,54.385964912280706,63.1578947368421,35.526315789473685,64.47368421052632,54.367149758454104,1.7140978905340327,54.27777777777777,1.7586865539548895
vote_plus_official_helpful_reasons,19,0.5350877192982456,0.5350877192982456,20,2,22,0.8552631578947368,76,0.17105263157894737,76,0.5789473684210527,76,0.5348792270531402,0.024310319243923236,0.5338888888888889,0.026122928767797222,53.50877192982456,53.50877192982456,85.52631578947368,17.105263157894736,57.89473684210527,53.48792270531402,2.4310319243923235,53.388888888888886,2.612292876779722
official_reasons_only_no_custom,19,0.5263157894736842,0.5263157894736842,10,5,15,0.7105263157894737,76,0.27631578947368424,76,0.5921052631578947,76,0.5266666666666666,0.01806298217031344,0.5263888888888889,0.01765036809324838,52.63157894736842,52.63157894736842,71.05263157894737,27.631578947368425,59.210526315789465,52.666666666666664,1.806298217031344,52.63888888888889,1.765036809324838
drop_confidence,82,0.5175438596491229,0.5175438596491229,15,5,20,0.6842105263157895,76,0.25,76,0.618421052631579,76,0.5174879227053141,0.028612495199839355,0.5183333333333333,0.029934986137657195,51.75438596491229,51.75438596491229,68.42105263157895,25.0,61.8421052631579,51.74879227053141,2.8612495199839354,51.83333333333333,2.9934986137657194
vote_only,13,0.5175438596491229,0.5175438596491228,21,7,28,0.8421052631578947,76,0.09210526315789473,76,0.618421052631579,76,0.5179710144927536,0.032606154848230595,0.5183333333333333,0.032847736077728375,51.75438596491229,51.754385964912274,84.21052631578947,9.210526315789473,61.8421052631579,51.79710144927536,3.2606154848230595,51.83333333333333,3.2847736077728373
