agent_count,metric,coverage_target,method,family,description,n_features,accuracy,balanced_accuracy,f1,recall_not_helpful,recall_helpful,coverage,resolved_notes,accuracy_ci95_low,accuracy_ci95_high,coverage_ci95_low,coverage_ci95_high,accuracy_pct,coverage_pct,accuracy_se_pct
12,full,,hybrid_all,full_model,All summary features plus per-agent vote indicators.,35,0.8294573643410853,0.8282980259990371,0.8181818181818182,0.8582089552238806,0.7983870967741935,1.0,258,0.7790697674418605,0.872093023255814,1.0,1.0,82.94573643410853,100.0,2.3730422401518734
12,full,,vote_plus_cluster_quality,single_addition,Vote share plus cluster-level quality statistics.,6,0.8255813953488372,0.8242657679345209,0.8132780082987552,0.8582089552238806,0.7903225806451613,1.0,258,0.7790697674418605,0.8682170542635659,1.0,1.0,82.55813953488372,100.0,2.274165480145545
12,full,,vote_plus_quality_plus_cluster_quality,targeted_combo,Vote share plus structured quality judgments and cluster-level quality statistics.,11,0.8178294573643411,0.8177058257101589,0.8112449799196787,0.8208955223880597,0.8145161290322581,1.0,258,0.7712209302325582,0.8566860465116279,1.0,1.0,81.78294573643412,100.0,2.1802325581395334
12,full,,vote_plus_confidence_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus confidence, structured quality judgments, and cluster-level quality statistics.",13,0.8178294573643411,0.8177058257101589,0.8112449799196787,0.8208955223880597,0.8145161290322581,1.0,258,0.7751937984496124,0.860562015503876,1.0,1.0,81.78294573643412,100.0,2.1777606391393767
12,full,,vote_plus_uncertainty_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus uncertainty, structured quality judgments, and cluster-level quality statistics.",14,0.813953488372093,0.8145763119884448,0.8110236220472441,0.7985074626865671,0.8306451612903226,1.0,258,0.7673449612403102,0.8565891472868217,1.0,1.0,81.3953488372093,100.0,2.276637399145702
12,full,,vote_plus_quality,single_addition,Vote share plus structured note-quality judgments.,6,0.8023255813953488,0.8027804525758305,0.7984189723320159,0.7910447761194029,0.8145161290322581,1.0,258,0.755717054263566,0.8488372093023255,1.0,1.0,80.23255813953489,100.0,2.3755141591520306
12,full,,summary_all,full_model,All non-agent summary features.,23,0.7984496124031008,0.7993500240731826,0.796875,0.7761194029850746,0.8225806451612904,1.0,258,0.751937984496124,0.8449612403100775,1.0,1.0,79.84496124031007,100.0,2.3730422401518734
12,full,,vote_only,single_addition,Only aggregate Helpful vote share.,1,0.7674418604651163,0.7652864708714493,0.7457627118644068,0.8208955223880597,0.7096774193548387,1.0,258,0.7130813953488373,0.8179263565891474,1.0,1.0,76.74418604651163,100.0,2.6746163581711753
24,full,,vote_plus_quality_plus_cluster_quality,targeted_combo,Vote share plus structured quality judgments and cluster-level quality statistics.,11,0.8372093023255814,0.8366634569090035,0.8292682926829268,0.8507462686567164,0.8225806451612904,1.0,258,0.7906976744186046,0.875968992248062,1.0,1.0,83.72093023255815,100.0,2.1752887201392195
24,full,,vote_plus_cluster_quality,single_addition,Vote share plus cluster-level quality statistics.,6,0.8333333333333334,0.8329321136254213,0.8259109311740891,0.8432835820895522,0.8225806451612904,1.0,258,0.7943798449612403,0.8798449612403101,1.0,1.0,83.33333333333334,100.0,2.1802325581395365
24,full,,summary_all,full_model,All non-agent summary features.,23,0.8255813953488372,0.824867597496389,0.8163265306122449,0.8432835820895522,0.8064516129032258,1.0,258,0.7790697674418605,0.8682170542635659,1.0,1.0,82.55813953488372,100.0,2.274165480145545
24,full,,vote_plus_uncertainty_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus uncertainty, structured quality judgments, and cluster-level quality statistics.",14,0.8217054263565892,0.821738083774675,0.816,0.8208955223880597,0.8225806451612904,1.0,258,0.7750968992248063,0.8682170542635659,1.0,1.0,82.17054263565892,100.0,2.3755141591520306
24,full,,vote_plus_quality,single_addition,Vote share plus structured note-quality judgments.,6,0.813953488372093,0.8130717380837746,0.8032786885245902,0.835820895522388,0.7903225806451613,1.0,258,0.7713178294573644,0.8566860465116279,1.0,1.0,81.3953488372093,100.0,2.1777606391393767
24,full,,vote_plus_confidence_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus confidence, structured quality judgments, and cluster-level quality statistics.",13,0.813953488372093,0.8136735676456428,0.8064516129032258,0.8208955223880597,0.8064516129032258,1.0,258,0.771124031007752,0.8565891472868217,1.0,1.0,81.3953488372093,100.0,2.1802325581395334
24,full,,hybrid_all,full_model,All summary features plus per-agent vote indicators.,47,0.8062015503875969,0.8059099662975445,0.7983870967741935,0.8134328358208955,0.7983870967741935,1.0,258,0.7518410852713179,0.8528100775193799,1.0,1.0,80.62015503875969,100.0,2.575739598164847
