agent_count,metric,coverage_target,method,family,description,n_features,accuracy,balanced_accuracy,f1,recall_not_helpful,recall_helpful,coverage,resolved_notes,accuracy_ci95_low,accuracy_ci95_high,coverage_ci95_low,coverage_ci95_high,delta_accuracy_vs_vote_only,delta_accuracy_vs_summary_all,delta_accuracy_vs_hybrid_all
12,full,,agent_votes_only,agent_identity,Per-agent binary vote indicators without summary quality features.,12,0.7596899224806202,0.7590274434280212,0.7479674796747967,0.7761194029850746,0.7419354838709677,1.0,258,0.7053294573643412,0.810077519379845,1.0,1.0,-0.007751937984496138,-0.03875968992248058,-0.06976744186046513
12,full,,vote_plus_agent_votes,agent_identity,Vote share plus per-agent binary vote indicators.,13,0.7441860465116279,0.7428984111699567,0.7272727272727273,0.7761194029850746,0.7096774193548387,1.0,258,0.689922480620155,0.798546511627907,1.0,1.0,-0.023255813953488413,-0.054263565891472854,-0.0852713178294574
12,full,,cumulative_through_quality,cumulative,Cumulative feature set through quality.,11,0.8255813953488372,0.8254694270582571,0.8192771084337349,0.8283582089552238,0.8225806451612904,1.0,258,0.7828488372093023,0.8760658914728683,1.0,1.0,0.05813953488372092,0.027131782945736482,-0.003875968992248069
12,full,,cumulative_through_cluster_quality,cumulative,Cumulative feature set through cluster_quality.,23,0.7984496124031008,0.7993500240731826,0.796875,0.7761194029850746,0.8225806451612904,1.0,258,0.751937984496124,0.8449612403100775,1.0,1.0,0.03100775193798444,0.0,-0.03100775193798455
12,full,,cumulative_through_failure,cumulative,Cumulative feature set through failure.,14,0.7945736434108527,0.7959195955705345,0.7953667953667953,0.7611940298507462,0.8306451612903226,1.0,258,0.7441860465116279,0.8450581395348837,1.0,1.0,0.02713178294573637,-0.003875968992248069,-0.03488372093023262
12,full,,cumulative_through_cluster_disagreement,cumulative,Cumulative feature set through cluster_disagreement.,18,0.7906976744186046,0.7909845931632162,0.7857142857142857,0.7835820895522388,0.7983870967741935,1.0,258,0.7402131782945737,0.8372093023255814,1.0,1.0,0.023255813953488302,-0.007751937984496138,-0.03875968992248069
12,full,,cumulative_through_vote_uncertainty,cumulative,Cumulative feature set through vote_uncertainty.,4,0.7674418604651163,0.7652864708714493,0.7457627118644068,0.8208955223880597,0.7096774193548387,1.0,258,0.7170542635658915,0.813953488372093,1.0,1.0,0.0,-0.03100775193798444,-0.06201550387596899
12,full,,cumulative_through_confidence,cumulative,Cumulative feature set through confidence.,6,0.7674418604651163,0.7664901299951854,0.7540983606557377,0.7910447761194029,0.7419354838709677,1.0,258,0.7054263565891473,0.8140503875968993,1.0,1.0,0.0,-0.03100775193798444,-0.06201550387596899
12,full,,hybrid_all,full_model,All summary features plus per-agent vote indicators.,35,0.8294573643410853,0.8282980259990371,0.8181818181818182,0.8582089552238806,0.7983870967741935,1.0,258,0.7790697674418605,0.872093023255814,1.0,1.0,0.06201550387596899,0.03100775193798455,0.0
12,full,,summary_all,full_model,All non-agent summary features.,23,0.7984496124031008,0.7993500240731826,0.796875,0.7761194029850746,0.8225806451612904,1.0,258,0.751937984496124,0.8449612403100775,1.0,1.0,0.03100775193798444,0.0,-0.03100775193798455
